Uniprot,Gene description,Organ,GO
Q8NGZ9,Olfactory receptor family 2 subfamily T member 10,Kidney,GO:0005886;GO:0004930;GO:0004984;GO:0050911
Q4KMG9,Transmembrane protein 52B,Kidney,GO:0070062;GO:0016020
Q8TDX5,Aminocarboxymuconate semialdehyde decarboxylase,Kidney,GO:0005737;GO:0005829;GO:0001760;GO:0016787;GO:0008270;GO:1904985;GO:1905004;GO:1905012;GO:0019748;GO:0006569
O00337,Solute carrier family 28 member 1,Kidney,GO:0016324;GO:0031526;GO:0005829;GO:0016607;GO:0005886;GO:1901474;GO:0015212;GO:0005415;GO:0005345;GO:0015389;GO:0015213;GO:0045117;GO:0015861;GO:0180015;GO:1901642;GO:1904823;GO:0015855;GO:0072531;GO:0015862
P0DTE5,UDP glucuronosyltransferase family 2 member A2,Kidney,GO:0005789;GO:0015020;GO:0008206;GO:0052695
P16662,UDP glucuronosyltransferase family 2 member B7,Kidney,GO:0005789;GO:0016020;GO:0015020;GO:0008209;GO:0052695;GO:0008210;GO:0006629;GO:0006805
P20264,POU class 3 homeobox 3,Kidney,GO:0000785;GO:0005654;GO:0005634;GO:0003700;GO:0000981;GO:0071837;GO:0042803;GO:0000978;GO:0043565;GO:0007417;GO:0021799;GO:0048878;GO:0021869;GO:0072218;GO:0072240;GO:0072236;GO:0072227;GO:0072233;GO:0043066;GO:0045892;GO:0008284;GO:0045893;GO:0010628;GO:0045944;GO:0006357;GO:0071918
Q9UI17,Dimethylglycine dehydrogenase,Kidney,GO:0005737;GO:0005759;GO:0005739;GO:0047865;GO:0009055;GO:0003723;GO:0006579;GO:0042426;GO:0019695
P47871,Glucagon receptor,Kidney,GO:0005768;GO:0016020;GO:0005886;GO:0004967;GO:0005085;GO:0017046;GO:0007189;GO:0007188;GO:0007166;GO:0071377;GO:0009267;GO:0006887;GO:0006091;GO:0042593;GO:0009755;GO:0010628;GO:0008217;GO:0070873;GO:0007584;GO:0042594
P31639,Solute carrier family 5 member 2,Kidney,GO:0016324;GO:0070062;GO:0016020;GO:0005886;GO:0015151;GO:0055056;GO:0005412;GO:0005362;GO:0046872;GO:0000017;GO:0005975;GO:0098708;GO:0008645;GO:0035623;GO:0098719;GO:0006814
P19801,Amine oxidase copper containing 1,Kidney,GO:0005923;GO:0070062;GO:0005576;GO:0005615;GO:0005777;GO:0005886;GO:0035580;GO:0005509;GO:0005507;GO:0052597;GO:0008201;GO:0052598;GO:0008131;GO:0042803;GO:0050232;GO:0048038;GO:0009308;GO:0009445
Q9NYQ3,Hydroxyacid oxidase 2,Kidney,GO:0005829;GO:0005782;GO:0003973;GO:0010181;GO:0001561;GO:0019395
O95045,Uridine phosphorylase 2,Kidney,GO:0005829;GO:0045098;GO:0047847;GO:0042802;GO:0004850;GO:0006249;GO:0009116;GO:0044206;GO:0006218;GO:0046108
A6NGS2,Glutamate rich 4,Kidney,
Q6IB77,Glycine-N-acyltransferase,Kidney,GO:0005759;GO:0005739;GO:0016746;GO:0047961;GO:0047962;GO:0006637;GO:1901787;GO:0006544;GO:0032787;GO:0009636;GO:0006805
P50440,Glycine amidinotransferase,Kidney,GO:0070062;GO:0005743;GO:0005758;GO:0005739;GO:0015067;GO:0015068;GO:0006601;GO:0006600;GO:0007611;GO:0014889;GO:0120162
Q9P0Z9,Pipecolic acid and sarcosine oxidase,Kidney,GO:0005829;GO:0005782;GO:0005777;GO:0050660;GO:0050031;GO:0008115;GO:0033514;GO:0006554
Q99956,Dual specificity phosphatase 9,Kidney,GO:0005737;GO:0005829;GO:0005634;GO:0033192;GO:0140791;GO:0140793;GO:1990439;GO:0033550;GO:0017017;GO:0017018;GO:0004726;GO:0004721;GO:0030946;GO:0008138;GO:0008330;GO:0180006;GO:0180007;GO:0180008;GO:0180005;GO:0180004;GO:0070371;GO:0007254;GO:0000165;GO:0070373;GO:0006470;GO:0007165
P50053,Ketohexokinase,Kidney,GO:0005737;GO:0005829;GO:0070062;GO:0005524;GO:0070061;GO:0042802;GO:0004454;GO:0042803;GO:0006000;GO:0070873;GO:0009750;GO:0009749;GO:0032868;GO:0009744;GO:0010043
P00439,Phenylalanine hydroxylase,Kidney,GO:0005829;GO:0005506;GO:0004505;GO:0008652;GO:0042423;GO:0006559;GO:0006571
A0PJK1,Solute carrier family 5 member 10,Kidney,GO:0016324;GO:0070062;GO:0005886;GO:0005412;GO:0140930;GO:0140929;GO:0015370;GO:0008645
Q9BQB4,Sclerostin,Kidney,GO:0005576;GO:0005615;GO:0005794;GO:0032991;GO:0036122;GO:0030246;GO:0140297;GO:0008201;GO:0140678;GO:0030509;GO:0060070;GO:0071374;GO:0030514;GO:0090090;GO:0030279;GO:0031333;GO:0030178;GO:0001503;GO:0045893;GO:0009612
A2RRL7,Transmembrane protein 213,Kidney,GO:0016020
Q13520,Aquaporin 6,Kidney,GO:0016324;GO:0030659;GO:0005886;GO:0008519;GO:0035379;GO:0005253;GO:0015112;GO:0061797;GO:0015250;GO:0015670;GO:0015706;GO:0042476;GO:0003097;GO:0006833
P02489,Crystallin alpha A,Kidney,GO:0005737;GO:0005829;GO:0005654;GO:0005634;GO:0032991;GO:0042802;GO:0046872;GO:0005212;GO:0005198;GO:0051082;GO:0002088;GO:0043066;GO:0032387;GO:0042026;GO:0050821;GO:0009408;GO:0007601
Q08426,Enoyl-CoA hydratase and 3-hydroxyacyl CoA dehydrogenase,Kidney,GO:0005829;GO:0005782;GO:0005777;GO:0018812;GO:0003857;GO:0004165;GO:0004300;GO:0019899;GO:0016863;GO:0016509;GO:0070403;GO:0006635;GO:0033540
Q9H2M3,Betaine--homocysteine S-methyltransferase 2,Kidney,GO:0005829;GO:0070062;GO:0008898;GO:0061627;GO:0008270;GO:0071267;GO:0032259;GO:0046500;GO:0033477
Q01740,Flavin containing dimethylaniline monoxygenase 1,Kidney,GO:0005788;GO:0005789;GO:0050660;GO:0047822;GO:0004497;GO:0004499;GO:0050661;GO:0034899;GO:0097009;GO:0070995;GO:0046322;GO:0006082;GO:0032496;GO:0000098;GO:0042412;GO:0009404;GO:0006805
H3BQJ8,Lymphocyte antigen 6 family member L,Kidney,GO:0005886;GO:0098552
O95156,Neurexophilin 2,Kidney,GO:0005576;GO:0005102;GO:0007218
