Uniprot,Gene description,Organ,GO
P02763,Orosomucoid 1,Liver,GO:0072562;GO:0062023;GO:0070062;GO:0005576;GO:0005615;GO:0031093;GO:0035580;GO:1904724;GO:0006953;GO:0006954;GO:0032715;GO:0032720;GO:0032731;GO:0032732;GO:0032760;GO:0002682
P04196,Histidine rich glycoprotein,Liver,GO:0072562;GO:0009986;GO:0062023;GO:0070062;GO:0005576;GO:0005886;GO:0031093;GO:0004869;GO:0020037;GO:0043395;GO:0008201;GO:0019865;GO:0046872;GO:0004867;GO:0005102;GO:0008270;GO:0001525;GO:0061844;GO:0006935;GO:0051838;GO:0050832;GO:0042730;GO:0016525;GO:0043537;GO:0007162;GO:0033629;GO:0030308;GO:0008285;GO:2001027;GO:0051918;GO:0010593;GO:1900747;GO:0030168;GO:0043065;GO:2000504;GO:0051894;GO:0002839;GO:0032956;GO:0030193;GO:0010468;GO:0050730;GO:0010543;GO:0043254
P55103,Inhibin subunit beta C,Liver,GO:0005576;GO:0005615;GO:0005125;GO:0008083;GO:0005179;GO:0005160
P11509,Cytochrome P450 family 2 subfamily A member 6,Liver,GO:0005737;GO:0005881;GO:0005789;GO:0043231;GO:0008392;GO:0008389;GO:0019899;GO:0020037;GO:0005506;GO:0016712;GO:0046226;GO:0009804;GO:0019373;GO:0008202;GO:0042178;GO:0006805
O00624,Solute carrier family 17 member 2,Liver,GO:0016324;GO:0016020;GO:0005886;GO:0005436;GO:0022857;GO:0015143;GO:0006820;GO:0006796;GO:0006814
Q02325,Plasminogen like B2,Liver,GO:0005576
Q8N8V2,Guanylate binding protein 7,Liver,GO:0031410;GO:0030659;GO:0005525;GO:0003924;GO:0071346;GO:0051715;GO:0042742;GO:0050830;GO:0042832;GO:0051607;GO:0001818;GO:0046426;GO:0032480;GO:0034345;GO:0045070;GO:0043122
O75452,Retinol dehydrogenase 16,Liver,GO:0005789;GO:0043231;GO:0106429;GO:0004745;GO:0047044;GO:0047023;GO:0009055;GO:0042802;GO:0006629;GO:0042572;GO:0008202
P36537,UDP glucuronosyltransferase family 2 member B10,Liver,GO:0005789;GO:0008194;GO:0052695;GO:0008210;GO:0006629
P04114,Apolipoprotein B,Liver,GO:0042627;GO:0034360;GO:0030669;GO:0005737;GO:0005829;GO:0005769;GO:0071682;GO:0070971;GO:0005788;GO:0005789;GO:0031904;GO:0010008;GO:0070062;GO:0005576;GO:0005615;GO:0034363;GO:0043231;GO:0005811;GO:0034362;GO:0043202;GO:0034359;GO:0043025;GO:0005886;GO:0005790;GO:0034361;GO:0120020;GO:0008201;GO:0035473;GO:0050750;GO:0005543;GO:0048018;GO:0048844;GO:0071402;GO:0033344;GO:0042632;GO:0008203;GO:0030301;GO:0051649;GO:0009566;GO:0030317;GO:0001701;GO:0042158;GO:0042159;GO:0042953;GO:0034383;GO:0034374;GO:0007399;GO:0010886;GO:0010628;GO:0010884;GO:0010744;GO:0009791;GO:0045540;GO:0009615;GO:0007283;GO:0019433;GO:0006642;GO:0034379
