Uniprot,Gene description,Organ,GO
Q13326,Sarcoglycan gamma,Heart,GO:0005737;GO:0005856;GO:0005886;GO:0016012;GO:0042383;GO:0048738;GO:0010467;GO:0060047;GO:0007517
Q5HYJ1,"Trans-2,3-enoyl-CoA reductase like",Heart,GO:0005783;GO:0016020;GO:0016491;GO:0016627;GO:0042761
Q9H2Y7,Zinc finger protein 106,Heart,GO:0005829;GO:0016020;GO:0016607;GO:0005730;GO:0046872;GO:0003723;GO:0008286
Q6UXU4,GSG1 like,Heart,GO:0098978;GO:0005886;GO:0098839;GO:0098685;GO:0099149
A7E2Y1,Myosin heavy chain 7B,Heart,GO:0097512;GO:0005737;GO:0016020;GO:0032982;GO:0016460;GO:0051015;GO:0005524;GO:0000146;GO:1905289;GO:0086004;GO:0051480
Q96IW2,Src homology 2 domain containing transforming protein D,Heart,GO:0001784
P13637,ATPase Na+/K+ transporting subunit alpha 3,Heart,GO:0030424;GO:0005783;GO:1903561;GO:0005794;GO:0016020;GO:0098984;GO:0043025;GO:0032809;GO:0031090;GO:0001917;GO:0060342;GO:0005886;GO:0005890;GO:0045202;GO:0001540;GO:0005524;GO:0016887;GO:0046872;GO:0005391;GO:0051087;GO:1990239;GO:0086064;GO:1904646;GO:0071383;GO:0030007;GO:0006883;GO:1990535;GO:1990573;GO:1902600;GO:0060075;GO:1903416;GO:0036376
Q04844,Cholinergic receptor nicotinic epsilon subunit,Heart,GO:0005892;GO:0031594;GO:0043005;GO:0005886;GO:0045211;GO:0045202;GO:0015464;GO:0022848;GO:0008324;GO:1904315;GO:0095500;GO:0051899;GO:0006936;GO:0007165;GO:0007271
Q14192,Four and a half LIM domains 2,Heart,GO:0005925;GO:0005654;GO:0005634;GO:0030018;GO:0043425;GO:0042802;GO:0046872;GO:0003714;GO:0008134;GO:0055014;GO:0060347;GO:0043066;GO:0070885;GO:0000122;GO:0001649;GO:0009725;GO:0055015
Q9HCP6,Hedgehog acyltransferase like,Heart,GO:0005783;GO:0005789;GO:0048471;GO:0060262
Q9UBY9,Heat shock protein family B (small) member 7,Heart,GO:0015629;GO:0016235;GO:0015030;GO:0005737;GO:0005654;GO:0005634;GO:0031005;GO:0007507;GO:0008016;GO:0006986
Q13368,MAGUK p55 scaffold protein 3,Heart,GO:0005912;GO:0016324;GO:0005911;GO:0005886;GO:0030165
