Uniprot,Gene description,Organ,GO
Q5W5W9,Regulated endocrine specific protein 18,Brain,GO:0031410;GO:0005783;GO:0005794
O95670,ATPase H+ transporting V1 subunit G2,Brain,GO:0030665;GO:0005829;GO:0042470;GO:0030672;GO:0000221;GO:0016887;GO:0046961;GO:0016241;GO:0097401
Q09470,Potassium voltage-gated channel subfamily A member 1,Brain,GO:0070161;GO:0016324;GO:0043194;GO:0043679;GO:0044305;GO:0030054;GO:0009986;GO:0031410;GO:0005829;GO:0030425;GO:0005783;GO:0098978;GO:0044224;GO:0016020;GO:0043025;GO:0033270;GO:0043204;GO:0005886;GO:0045211;GO:0042734;GO:0045202;GO:0008076;GO:0005251;GO:0097718;GO:1905030;GO:0099508;GO:0005249;GO:0001508;GO:0061564;GO:0010644;GO:0071286;GO:0021987;GO:0022038;GO:0050966;GO:0050976;GO:0021766;GO:0010960;GO:0086011;GO:0007405;GO:0050905;GO:0019228;GO:0023041;GO:0021554;GO:0071805;GO:0051260;GO:0008104;GO:0042391;GO:0006937;GO:0001964
Q92686,Neurogranin,Brain,GO:0005829;GO:0005516;GO:0007399;GO:0007165
Q9BR01,Sulfotransferase family 4A member 1,Brain,GO:0005737;GO:0005829;GO:0005739;GO:0042802;GO:0008146;GO:0140059;GO:0008202;GO:0051923
Q16650,T-box brain transcription factor 1,Brain,GO:0000785;GO:0005634;GO:0031490;GO:0003700;GO:0000981;GO:0019901;GO:0000978;GO:0021764;GO:0007420;GO:0001708;GO:0021987;GO:0006338;GO:0021902;GO:0001661;GO:0010467;GO:0030902;GO:0045892;GO:0045944;GO:1902667;GO:0010975;GO:0006357;GO:0010092
Q96PE5,Oligodendrocytic myelin paranodal and inner loop protein,Brain,GO:0044291;GO:0005794;GO:0005886;GO:0048713
P20916,Myelin associated glycoprotein,Brain,GO:0043218;GO:0045121;GO:0097453;GO:0043209;GO:0035749;GO:0033270;GO:0005886;GO:0043220;GO:0030246;GO:1905576;GO:0042803;GO:0019901;GO:0033691;GO:0005102;GO:0031103;GO:0007155;GO:0098742;GO:0071260;GO:0032289;GO:0030517;GO:0043524;GO:0045665;GO:0010977;GO:0048711;GO:0031643;GO:0021762;GO:0019226
Q8IW70,Transmembrane protein 151B,Brain,GO:0016020
O00555,Calcium voltage-gated channel subunit alpha1 A,Brain,GO:0042995;GO:0005737;GO:0016020;GO:0043025;GO:0005634;GO:0005886;GO:0045202;GO:0005891;GO:0001540;GO:0008331;GO:0046872;GO:0019905;GO:0005245;GO:0098703;GO:0070588;GO:1904646;GO:0007268;GO:0050804;GO:0007204;GO:1904645
Q14D33,Receptor transporter protein 5 (putative),Brain,GO:0016020;GO:0046872;GO:0031849;GO:0001580;GO:0051205;GO:0006612
Q3V5L5,"Alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase B",Brain,GO:0005794;GO:0000139;GO:0030144;GO:0030145;GO:0006487;GO:0018242
A0A0J9YX94,PNMA family member 6F,Brain,
