Uniprot,Gene description,Organ,GO
Q5H9T9,Fibrous sheath CABYR binding protein,Testis,GO:0035686;GO:0097228;GO:0005509;GO:0033234
Q8TC56,Golgi associated RAB2B interactor family member 3,Testis,GO:0015030;GO:0005794;GO:0005634
Q6UWN0,LY6/PLAUR domain containing 4,Testis,GO:0005576;GO:0005886;GO:0044853;GO:0098552
P21108,Phosphoribosyl pyrophosphate synthetase 1 like 1,Testis,GO:0005737;GO:0005524;GO:0016301;GO:0000287;GO:0042803;GO:0004749;GO:0006015;GO:0008584;GO:0006164;GO:0009156
Q5T681,Chromosome 10 open reading frame 62,Testis,
P35663,Cylicin 1,Testis,GO:0043159;GO:0033150;GO:0005634;GO:0061827;GO:0005200;GO:0005198;GO:0001675;GO:0007283
Q86VQ3,Thioredoxin domain containing 2,Testis,GO:0005737;GO:0004791;GO:0030154;GO:0045454;GO:0007283
Q9NY87,SPANX family member C,Testis,GO:0005737;GO:0005634
Q96M34,Testis expressed 55,Testis,GO:0005634
Q6PEW0,Serine protease 54,Testis,GO:0005615;GO:0004252;GO:0006508
Q9UK85,Dickkopf like acrosomal protein 1,Testis,GO:0001669;GO:0005615;GO:0039706;GO:0048019;GO:0009653;GO:0060070;GO:0090090;GO:2000225;GO:0007341;GO:0043065;GO:0045600
Q9H322,Variable charge X-linked 2,Testis,GO:0007420
Q9H0C2,Solute carrier family 25 member 31,Testis,GO:0016020;GO:0005743;GO:0005757;GO:0005739;GO:0031514;GO:0005634;GO:0005886;GO:0005471;GO:0030154;GO:0007141;GO:0140021;GO:1990544;GO:1901029;GO:0046902;GO:0007283
Q9BXG8,Spermatogenic leucine zipper 1,Testis,GO:0005737;GO:0005634;GO:0003677;GO:0003700
Q8NEG0,Golgi associated RAB2 interactor family member 6,Testis,
Q75WM6,H1.7 linker histone,Testis,GO:0000785;GO:0005634;GO:0005524;GO:0003690;GO:0031492;GO:0030261;GO:0045910;GO:0035092;GO:0007290
P0C7M6,IQ motif containing F3,Testis,GO:0005516
Q9UKF2,ADAM metallopeptidase domain 30,Testis,GO:0009897;GO:0031902;GO:0016020;GO:0005886;GO:1990913;GO:0004222;GO:0008237;GO:0008270;GO:0008584;GO:0006508
Q5MJ08,SPANX family member N4,Testis,
Q8WTU0,DNA damage inducible 1 homolog 1,Testis,GO:0004190;GO:0072711;GO:0010498;GO:0097752;GO:0031647
Q17R55,Family with sequence similarity 187 member B,Testis,GO:0016020
A6NDE8,G antigen 12H,Testis,
Q6ZU69,Family with sequence similarity 205 member A,Testis,GO:0016020;GO:0005634
P22612,Protein kinase cAMP-activated catalytic subunit gamma,Testis,GO:0005952;GO:0097546;GO:0005829;GO:0005654;GO:0005634;GO:0005524;GO:0004691;GO:0034237;GO:0106310;GO:0004674;GO:0034380;GO:0008584;GO:0003091;GO:0007165;GO:0007283
Q96PF2,Testis specific serine kinase 2,Testis,GO:0001669;GO:0005814;GO:0005737;GO:0005634;GO:0004676;GO:0004679;GO:0005524;GO:0004677;GO:0004694;GO:0044024;GO:0072371;GO:1990244;GO:0035979;GO:0044025;GO:0140823;GO:0035175;GO:0044022;GO:0140855;GO:0035402;GO:0072354;GO:0140857;GO:0035403;GO:0044023;GO:0000287;GO:0106310;GO:0004674;GO:0044877;GO:0072518;GO:0004711;GO:0046777;GO:0006468;GO:0007286
A1L429,G antigen 12C,Testis,
A1L429,G antigen 12D,Testis,
H3BU77,Coiled-coil domain containing 179,Testis,
A0A1B0GTH6,Casein kinase 2 subunit alpha' interacting protein,Testis,GO:0005634
Q5FVE4,Acyl-CoA synthetase bubblegum family member 2,Testis,GO:0005737;GO:0005829;GO:0016020;GO:0005739;GO:0047676;GO:0005524;GO:0047617;GO:0004467;GO:0031957;GO:0030154;GO:0006631;GO:0042759;GO:0035338;GO:0007283
X6R8D5,GUCA1A neighbor,Testis,
Q9BXN6,SPANX family member D,Testis,GO:0005737;GO:0005634
Q9BXA7,Testis specific serine kinase 1B,Testis,GO:0001669;GO:0031514;GO:0004676;GO:0004679;GO:0005524;GO:0004677;GO:0004694;GO:0044024;GO:0072371;GO:1990244;GO:0035979;GO:0044025;GO:0140823;GO:0035175;GO:0044022;GO:0140855;GO:0035402;GO:0072354;GO:0140857;GO:0035403;GO:0044023;GO:0000287;GO:0106310;GO:0004674;GO:0044877;GO:0072518;GO:0004711;GO:0006468;GO:0007286
Q7Z745,Maestro heat like repeat family member 2B,Testis,GO:0001669;GO:0005737;GO:0036126;GO:0097225;GO:0030154;GO:0010737;GO:0007283
Q8WW36,Zinc finger CCHC-type containing 13,Testis,GO:0005737;GO:0003729;GO:0003727;GO:0045182;GO:0008270;GO:2000767
Q86WR6,CHD1 helical C-terminal domain containing 1,Testis,GO:0005737
Q6UE05,Transmembrane protein 270,Testis,GO:0016020
Q8WXJ9,Ankyrin repeat and SOCS box containing 17,Testis,GO:0005829;GO:0035556;GO:0016567
O75526,RBMX like 2,Testis,GO:0005634;GO:1990904;GO:0003729;GO:0017069;GO:0000398
Q5TGJ6,HDGF like 1,Testis,GO:0005634;GO:0006338
Q9BWX1,PHD finger protein 7,Testis,GO:0005829;GO:0005794;GO:0016607;GO:0005654;GO:0005634;GO:0005886;GO:0046872
Q6GV28,Transmembrane protein 225,Testis,GO:0002080
Q96SF2,Chaperonin containing TCP1 subunit 8 like 2,Testis,GO:0005832;GO:0005524;GO:0140662;GO:0015269;GO:0005253;GO:0051082;GO:0006457
Q8NA75,DDB1 and CUL4 associated factor 4 like 2,Testis,GO:0080008
Q8NA77,Testis expressed 19,Testis,GO:0005737;GO:0005634;GO:0034584;GO:0030154;GO:0008584;GO:0007140;GO:0001890;GO:0007131;GO:0007283;GO:0010526
A6NF36,Coiled-coil domain containing 182,Testis,GO:0008585
O60676,Cystatin 8,Testis,GO:0009986;GO:0005737;GO:0005576;GO:0004869
A0A1B0GTY4,Testis expressed 50,Testis,GO:0016020
Q8N4E4,Phosducin like 2,Testis,GO:0005737;GO:0005783;GO:0001675;GO:0006457;GO:0007288;GO:0007286
Q53FE4,Chromosome 4 open reading frame 17,Testis,
A6NLE4,Small integral membrane protein 23,Testis,GO:0005886
Q9NS26,SPANX family member A2,Testis,GO:0005737;GO:0005634;GO:0007283
Q8N5Q1,Golgi associated RAB2 interactor family member 5B,Testis,
P56180,Transmembrane phosphatase with tensin homology,Testis,GO:0005829;GO:0016020;GO:0140793;GO:0005216;GO:0004726;GO:0016314;GO:0004725;GO:0030946;GO:0006470;GO:0007165
Q9UBF1,MAGE family member C2,Testis,GO:0005829;GO:0005654;GO:0005634;GO:0031625;GO:0000122;GO:0051443;GO:0030163
Q96M93,Adenosine deaminase domain containing 1,Testis,GO:0005737;GO:0001673;GO:0005730;GO:0004000;GO:0003726;GO:0003725;GO:0008251;GO:0006382;GO:0006396;GO:0007286
Q7Z4L0,Cytochrome c oxidase subunit 8C,Testis,GO:0005743;GO:0005739;GO:0045277;GO:0006123
O75409,H2A.P histone,Testis,GO:0000786;GO:0005634;GO:0046982;GO:0030527;GO:0031507
O14990,PPP1R2C family member C,Testis,GO:0004864;GO:0035556;GO:0009966
Q8IYP2,Serine protease 58,Testis,GO:0005615;GO:0030141;GO:0004252;GO:0051604;GO:0006508
P07864,Lactate dehydrogenase C,Testis,GO:0005829;GO:0070062;GO:0005739;GO:0031514;GO:0005634;GO:1990204;GO:0004459;GO:0006754;GO:0030317;GO:0019244;GO:0006089;GO:0042867;GO:0006090
P0DKB6,Mitochondrial pyruvate carrier 1 like,Testis,GO:0005743;GO:0050833;GO:0006850
Q9NQT6,Fascin actin-bundling protein 3,Testis,GO:0015629;GO:0031253;GO:0005737;GO:0005856;GO:0030175;GO:0030426;GO:0030027;GO:0005902;GO:0001726;GO:0051015;GO:0030674;GO:0051017;GO:0016477;GO:0007163
A6NFZ4,Family with sequence similarity 24 member A,Testis,GO:0005576
A0A1B0GUA7,Testis expressed 51,Testis,GO:0016020
Q8IZP6,Ring finger protein 113B,Testis,GO:0005684;GO:0046872;GO:0034247
