Uniprot,Gene description,Organ,GO
P81172,Hepcidin antimicrobial peptide,Liver,GO:0005576;GO:0005615;GO:0005634;GO:0005507;GO:0005179;GO:0141108;GO:0007259;GO:0042742;GO:0050832;GO:0051649;GO:0006955;GO:0006954;GO:0006879;GO:0034755;GO:0031640;GO:0042116;GO:0060586;GO:0002262;GO:0045779;GO:0050728;GO:1904479;GO:1904039;GO:0034760;GO:0000122;GO:0043032;GO:0032436;GO:0045944;GO:0030163;GO:0010039;GO:0006366
P04271,S100 calcium binding protein B,Brain,GO:0005737;GO:0005829;GO:0005576;GO:0005615;GO:0043231;GO:0043025;GO:0005654;GO:0005634;GO:0048471;GO:0001726;GO:0005509;GO:0048306;GO:0042802;GO:0042803;GO:0050786;GO:0044548;GO:0048156;GO:0008270;GO:1990845;GO:0007409;GO:0007155;GO:0007417;GO:0007611;GO:0007613;GO:0043123;GO:0008284;GO:0045666;GO:0048168;GO:0097490
Q502W6,Von Willebrand factor A domain containing 3B,Testis,GO:0005829;GO:0005654
Q7Z569,BRCA1 associated protein,Testis,GO:0005737;GO:0005829;GO:0031965;GO:0005654;GO:0000151;GO:0042802;GO:0008139;GO:0003676;GO:0061630;GO:0004842;GO:0008270;GO:0000165;GO:0009968;GO:0016567;GO:0007265
P26436,Acrosomal vesicle protein 1,Testis,GO:0001669;GO:0007283
Q02156,Protein kinase C epsilon,Brain,GO:0071944;GO:0005737;GO:0005829;GO:0005783;GO:0005794;GO:0045111;GO:0043231;GO:0005739;GO:0005634;GO:0048471;GO:0005886;GO:0045202;GO:0071889;GO:0003785;GO:0005524;GO:0004698;GO:0004697;GO:0004699;GO:0008047;GO:0019899;GO:0035276;GO:0046872;GO:0004672;GO:0106310;GO:0004674;GO:0030546;GO:0006915;GO:0051301;GO:0031589;GO:0071361;GO:0071456;GO:0071380;GO:0051649;GO:0038096;GO:0030073;GO:0035556;GO:0031663;GO:0035641;GO:0002281;GO:0000165;GO:0070254;GO:0031397;GO:1902306;GO:0018105;GO:0030838;GO:0043123;GO:0010811;GO:2001031;GO:0032467;GO:0010634;GO:0010763;GO:0032024;GO:0050996;GO:0043410;GO:0070257;GO:1903078;GO:0032930;GO:0032230;GO:0090303;GO:0006468;GO:0061178;GO:0051279;GO:0043278;GO:0007165;GO:0051932;GO:0009407;GO:0035669
O75145,PTPRF interacting protein alpha 3,Brain,GO:0001669;GO:0005829;GO:0098875;GO:0098978;GO:0048786;GO:0098831;GO:0007269;GO:0048172;GO:0050808;GO:0016081
Q8N752,Casein kinase 1 alpha 1 like,Testis,GO:0005829;GO:0005634;GO:0004676;GO:0004679;GO:0005524;GO:0004677;GO:0004694;GO:0044024;GO:0072371;GO:1990244;GO:0035979;GO:0044025;GO:0140823;GO:0035175;GO:0044022;GO:0140855;GO:0035402;GO:0072354;GO:0140857;GO:0035403;GO:0044023;GO:0106310;GO:0004674;GO:0072518;GO:0004711;GO:0090090;GO:0007165;GO:0016055
O95918,Olfactory receptor family 2 subfamily H member 2,Brain,GO:0005886;GO:0004930;GO:0004984;GO:0006952;GO:0050911;GO:0007618
Q6PI25,Cornichon family AMPA receptor auxiliary protein 2,Brain,GO:0032281;GO:0030425;GO:0043198;GO:0043197;GO:0005789;GO:0033116;GO:0012507;GO:0014069;GO:0045211;GO:0045202;GO:0005102;GO:2000311;GO:0035249;GO:0016192
