Uniprot,GO
Q14831,GO:0032279;GO:0030424;GO:0005938;GO:0030425;GO:0043198;GO:0016020;GO:0005886;GO:0045211;GO:0048786;GO:0043235;GO:0010855;GO:0005509;GO:0016595;GO:0008066;GO:0001642;GO:0030165;GO:0046983;GO:0070905;GO:0007196;GO:0007193;GO:0061564;GO:0007268;GO:0007216;GO:0070085;GO:0014050;GO:0051966;GO:0007605
Q9ULZ0,GO:0005737;GO:0005634
O95936,GO:0000785;GO:0005654;GO:0005634;GO:0031490;GO:0003677;GO:0000981;GO:0000978;GO:0061629;GO:0043565;GO:1990837;GO:0002250;GO:0048708;GO:0007420;GO:0010002;GO:0002302;GO:0060706;GO:0021895;GO:0021796;GO:0006338;GO:0001706;GO:0001714;GO:0010467;GO:0048382;GO:0001707;GO:0060809;GO:0043433;GO:0000122;GO:0001764;GO:0021772;GO:0045893;GO:0045944;GO:0006357;GO:0035914;GO:0019827;GO:0001829
Q5VZ72,GO:0002079;GO:0005886;GO:0042803;GO:0001675
A8MYJ7,
Q16822,GO:0005759;GO:0005739;GO:0005525;GO:0030145;GO:0004613;GO:0004611;GO:0071549;GO:0071333;GO:0032869;GO:0071356;GO:0006094;GO:0046327;GO:0070365;GO:0006116;GO:0006107;GO:0032024;GO:0019543;GO:0032496;GO:0042594
Q17RY6,GO:0001669;GO:0005576;GO:0045121;GO:0005886;GO:0098552;GO:0007339
P0DMW5,
Q12794,GO:0031410;GO:0070062;GO:0005615;GO:0036117;GO:0043202;GO:0005764;GO:0052757;GO:0004415;GO:0005975;GO:0051216;GO:0044344;GO:0071347;GO:0071467;GO:0036120;GO:0071356;GO:0071493;GO:0030207;GO:0060272;GO:0006027;GO:0030214;GO:0030212;GO:0006954;GO:0030308;GO:0045766;GO:0045785;GO:0030307;GO:1900106;GO:0046677;GO:0000302;GO:0009615
Q96KV7,GO:0005814;GO:0005813;GO:0005737;GO:0060271
Q92736,GO:0034704;GO:0014701;GO:0016020;GO:0005886;GO:0032991;GO:0042383;GO:0016529;GO:0033017;GO:0005790;GO:0030018;GO:0005262;GO:0005509;GO:0048763;GO:0005516;GO:0019899;GO:0042802;GO:0015278;GO:0034236;GO:0034237;GO:0005219;GO:0043924;GO:0044325;GO:0006816;GO:0060402;GO:0019722;GO:0060048;GO:0003300;GO:0086064;GO:0071313;GO:0071872;GO:0005513;GO:0003143;GO:0051649;GO:0072599;GO:0006874;GO:0003220;GO:0010460;GO:0051284;GO:0098735;GO:0086029;GO:0098910;GO:0098904;GO:0055117;GO:0010882;GO:0010881;GO:0051480;GO:0002027;GO:0098907;GO:0098911;GO:0051209;GO:0014808;GO:0031000;GO:0001666;GO:0014850;GO:0035994;GO:0051775;GO:0070296;GO:0006941;GO:0097050;GO:0086005
Q15800,GO:0005783;GO:0005789;GO:0016020;GO:0005886;GO:0000254;GO:0005506;GO:0006695;GO:0006631;GO:0008202;GO:0016126
Q86Z14,GO:0005886;GO:0017134;GO:0005104;GO:0004553;GO:0005975;GO:0008284;GO:0090080
P78333,GO:0009986;GO:0062023;GO:0005576;GO:0005796;GO:0043202;GO:0016020;GO:0005886;GO:0098552;GO:0016477;GO:0090263;GO:1905475
Q9P2T0,GO:0005634;GO:0030154;GO:0051131;GO:0007283
A6NLU0,GO:0005737;GO:0005829;GO:0005654;GO:0046872;GO:0042803;GO:0019901;GO:0061630;GO:0045087;GO:0010508;GO:0043123;GO:0010468;GO:0032880;GO:0046596
P20062,GO:0009897;GO:0005576;GO:0005615;GO:0043202;GO:0005886;GO:0140355;GO:0031419;GO:0046872;GO:0015889;GO:0006824
A6ND48,GO:0005886;GO:0004930;GO:0005549;GO:0004984
Q9H6D8,GO:0005783;GO:0005615;GO:0005886;GO:0050728;GO:0071559
P20742,GO:0072562;GO:0070062;GO:0005576;GO:0005615;GO:0004866;GO:0002020;GO:0004867;GO:0007565
Q68CJ6,GO:0016607;GO:0005525;GO:0003924;GO:0071222;GO:0043066;GO:0033262
Q9H6L4,GO:0005681;GO:0006397;GO:0008380
Q5VU36,GO:0016020;GO:0030154;GO:0007283
P62079,GO:0015629;GO:0005788;GO:0005654;GO:0005886;GO:0019899;GO:0045747;GO:0072659;GO:0051604;GO:0051043
O00198,GO:0016020;GO:0005739;GO:0006915;GO:0043065;GO:0031334;GO:0090200
