Uniprot,GO
O95684,GO:0042995;GO:0005814;GO:0005813;GO:0005829;GO:0005634;GO:0048471;GO:0042803;GO:0019901;GO:0030292;GO:0030030;GO:0034453;GO:0006469;GO:0030307;GO:0030335;GO:0008284
E9PQR5,
Q99712,GO:0034702;GO:0005886;GO:0005242;GO:1990573;GO:0006813;GO:0034765
Q8IWG1,GO:0005858;GO:0005737;GO:0036156;GO:0071933;GO:0045504;GO:0045503;GO:0060294;GO:0036159;GO:0034316;GO:0030336;GO:0045669
O15354,GO:0009986;GO:0005737;GO:0030425;GO:0005783;GO:0005789;GO:0005886;GO:0043235;GO:0045202;GO:0000151;GO:0008528;GO:0004930;GO:0031072;GO:0030544;GO:0042923;GO:0008188;GO:0030165;GO:0042277;GO:0036505;GO:0031625;GO:0007193;GO:0034614;GO:0016358;GO:0042416;GO:0007186;GO:0031987;GO:0007218;GO:0045964;GO:0043410
P16949,GO:0005737;GO:0005829;GO:0070062;GO:0016020;GO:0005874;GO:0043005;GO:0015631;GO:0007409;GO:0061436;GO:0048012;GO:0035556;GO:0007019;GO:0000281;GO:0007052;GO:1905098;GO:0031115;GO:0035024;GO:0051497;GO:0070495;GO:0031175;GO:0030334;GO:0031110;GO:0009615;GO:0007165
P78329,GO:0016324;GO:0005737;GO:0005789;GO:0043231;GO:0097259;GO:0097258;GO:0018685;GO:0052871;GO:0008392;GO:0052869;GO:0020037;GO:0005506;GO:0050051;GO:0102033;GO:0004497;GO:0016709;GO:0019369;GO:0007596;GO:0019373;GO:0010430;GO:0006690;GO:0036101;GO:0006691;GO:0001676;GO:0042361;GO:0032304;GO:0097267;GO:0042376;GO:0032305;GO:0003095;GO:0008217;GO:0003091;GO:0055078;GO:0000038;GO:0042360;GO:0042377;GO:0006805
Q8N987,GO:0005737;GO:0005829;GO:0005654;GO:0005509;GO:0042802;GO:0001835;GO:0042984
O43711,GO:0000785;GO:0005654;GO:0005634;GO:0000981;GO:0000978;GO:1990837;GO:0048513;GO:0007417;GO:0097154;GO:0045665;GO:0048665;GO:0001764;GO:0002087;GO:0006357;GO:0007585
O00408,GO:0005737;GO:0005829;GO:0005783;GO:0005794;GO:0005743;GO:0005759;GO:0005741;GO:0005634;GO:0048471;GO:0005886;GO:0042734;GO:0097060;GO:0004119;GO:0004118;GO:0004115;GO:0047555;GO:0030552;GO:0030553;GO:0042802;GO:0000287;GO:0042301;GO:0042803;GO:0030911;GO:0008270;GO:0007193;GO:0035904;GO:0019933;GO:1904613;GO:0071320;GO:0071321;GO:0097011;GO:0036006;GO:0071260;GO:0071560;GO:0071466;GO:0046069;GO:0019934;GO:0061028;GO:0003170;GO:0030224;GO:0106072;GO:0043951;GO:0010754;GO:0000122;GO:0043116;GO:0010628;GO:0050729;GO:0043117;GO:0010752;GO:0010821;GO:0003281
Q6PB30,GO:0005813;GO:0005737;GO:0000922;GO:0007098
Q9ULE4,
P54646,GO:0030424;GO:0005737;GO:0010494;GO:0005829;GO:0030425;GO:0005794;GO:0043025;GO:0016607;GO:0005654;GO:0031588;GO:0005634;GO:0004676;GO:0047322;GO:0004679;GO:0005524;GO:0003682;GO:0004677;GO:0004694;GO:0044024;GO:0072371;GO:1990244;GO:0035979;GO:0044025;GO:0140823;GO:0035175;GO:0044022;GO:0140855;GO:0035402;GO:0072354;GO:0140857;GO:0035403;GO:0044023;GO:0046872;GO:0004672;GO:0106310;GO:0004674;GO:0004712;GO:0072518;GO:0004711;GO:0006914;GO:0071277;GO:0042149;GO:0071333;GO:0031669;GO:0034599;GO:0071380;GO:0071466;GO:0006695;GO:0097009;GO:0006633;GO:0055089;GO:0042593;GO:0008610;GO:1905691;GO:0043066;GO:0010629;GO:1903944;GO:0032007;GO:1904262;GO:1904428;GO:0010508;GO:0045821;GO:0016239;GO:2000758;GO:1903829;GO:1990044;GO:0006468;GO:0042752;GO:0016241;GO:0070507;GO:0062028;GO:0014850;GO:0048511;GO:0007165;GO:0016055
Q5JRV8,GO:0016020;GO:0009617
Q13467,GO:0030424;GO:0005923;GO:0009986;GO:0030669;GO:0030425;GO:0031901;GO:0000139;GO:0043204;GO:0048471;GO:0005886;GO:0045202;GO:0001540;GO:0004930;GO:0008289;GO:0019901;GO:0044877;GO:0031625;GO:0042813;GO:0017147;GO:0001525;GO:0008595;GO:0060561;GO:0060670;GO:0060070;GO:0071219;GO:0060718;GO:0000578;GO:0048596;GO:0001654;GO:0002071;GO:0060574;GO:0060716;GO:0008285;GO:0030182;GO:0035567;GO:0032731;GO:1903955;GO:0002726;GO:0045944;GO:0032760;GO:0032729;GO:0031077;GO:2000810;GO:1901382;GO:1901524;GO:0060061;GO:0007416;GO:0060715;GO:0033077
Q8N159,GO:0005759;GO:0005739;GO:0004042;GO:0006536;GO:0006526;GO:0000050
Q5VU43,GO:0005813;GO:0005737;GO:0005794;GO:0030016;GO:0005634;GO:0019899;GO:0060090;GO:0030953;GO:0007098;GO:0090063;GO:0065003;GO:1903358
Q99819,GO:0031410;GO:0005829;GO:0016020;GO:0005886;GO:0005096;GO:0005094;GO:0001835;GO:0007162;GO:0032880;GO:0007266
Q6NSI4,GO:0016607;GO:0005657;GO:0003723;GO:0003697;GO:2000042;GO:0006282
Q8NFP0,GO:0005634;GO:0005777;GO:0043065
Q8TCD1,GO:0005783;GO:0005811;GO:0043123
Q8WW38,GO:0000785;GO:0005737;GO:0001673;GO:0005654;GO:0005634;GO:0003677;GO:0061629;GO:0003713;GO:0003714;GO:0008270;GO:0030154;GO:0048568;GO:0045444;GO:0007506;GO:0007507;GO:0001701;GO:0030324;GO:0045892;GO:0045599;GO:2000195;GO:0000122;GO:0003148;GO:0060045;GO:2000020;GO:0045944;GO:0003221;GO:0001570;GO:0060412
Q96Q35,GO:0005737;GO:0031410;GO:0001520;GO:0036126
H3BPF8,GO:0005801;GO:0000137;GO:0032580;GO:0007030
Q6NUS8,GO:0043541;GO:0015020;GO:0008194
Q96NU7,GO:0005829;GO:0016812;GO:0050480;GO:0046872;GO:0006548;GO:0019556;GO:0019557
Q9P218,GO:0005581;GO:0062023;GO:0005788;GO:0005576
A6NGQ2,GO:0005938;GO:0005737;GO:0005634;GO:0032991;GO:0106333;GO:0003723;GO:0007015;GO:0009880;GO:0051293;GO:0035088;GO:2000781;GO:1905168;GO:0045836;GO:0051302;GO:0070201;GO:0032880;GO:0031297
A2RRL7,GO:0016020
Q86VV4,GO:0005737;GO:0005643;GO:0046332;GO:1901706;GO:0045668;GO:0045663;GO:0006611
O00337,GO:0016324;GO:0031526;GO:0005829;GO:0016607;GO:0005886;GO:1901474;GO:0015212;GO:0005415;GO:0005345;GO:0015389;GO:0015213;GO:0045117;GO:0015861;GO:0180015;GO:1901642;GO:1904823;GO:0015855;GO:0072531;GO:0015862
Q9UPV7,GO:0005737;GO:0098978;GO:0005634;GO:0030672;GO:0046872;GO:0003714;GO:0050966;GO:0007214;GO:0008277;GO:0032228
A4D1F6,GO:0005737;GO:0007165
Q5GH70,GO:0005886;GO:1902742;GO:0043652;GO:0070782
Q9P1Z3,GO:0030424;GO:0044316;GO:0030425;GO:0098855;GO:0043025;GO:0005886;GO:0030552;GO:0005249;GO:0005248;GO:1903351;GO:0071805;GO:0003254;GO:0042391;GO:0035725
Q96M63,GO:0005930;GO:0005929;GO:0036157;GO:0120228;GO:0003341;GO:0036158
P10911,GO:0005737;GO:0005856;GO:0005829;GO:0019898;GO:0016020;GO:0005085;GO:1990830;GO:0016358;GO:0035556;GO:0050771;GO:0051056
O43677,GO:0005743;GO:0005739;GO:0045271;GO:0008137;GO:0009060;GO:0006120;GO:0032981;GO:0042776
Q9UQM7,GO:0005954;GO:0005737;GO:0005829;GO:0043197;GO:0030666;GO:0005739;GO:0043005;GO:0005654;GO:0005634;GO:0014069;GO:0005524;GO:0004683;GO:0005516;GO:0035254;GO:0042802;GO:0016301;GO:0046872;GO:0042803;GO:0106310;GO:0004674;GO:0038166;GO:0006816;GO:0035458;GO:0071346;GO:0060996;GO:0000082;GO:0051346;GO:0018105;GO:1990443;GO:0051928;GO:0010666;GO:0051092;GO:0046427;GO:0046777;GO:0006468;GO:2000124;GO:1902108;GO:2001222;GO:0048168;GO:0046928;GO:1903076;GO:0002931;GO:0007165
Q3KNT9,GO:0002080;GO:0097524;GO:0007342
Q9Y4G6,GO:0015629;GO:0005737;GO:0005925;GO:0005886;GO:0098793;GO:0001726;GO:0045202;GO:0003779;GO:0051015;GO:0005178;GO:0005200;GO:0005198;GO:0030036;GO:0007155;GO:0098609;GO:0007043;GO:0099140
P09467,GO:0005737;GO:0005829;GO:0070062;GO:0005634;GO:0016208;GO:0042132;GO:0042802;GO:0046872;GO:0048029;GO:0061629;GO:0071475;GO:0071477;GO:0071320;GO:0032869;GO:0071286;GO:1904628;GO:0097403;GO:0071466;GO:0016311;GO:0030388;GO:0006002;GO:0006000;GO:0006094;GO:0030308;GO:0045820;GO:0046580;GO:0000122;GO:0006111;GO:0031667
Q9BUT9,GO:0005737;GO:0010494;GO:0005634
Q2M329,GO:0005930;GO:0005813;GO:0036064;GO:0060271
Q14520,GO:0005576;GO:0005615;GO:0005509;GO:0005539;GO:0008233;GO:0004252;GO:0007155;GO:0006508
Q6ZWJ8,GO:0005576;GO:0030513
Q9NNZ3,GO:0016020;GO:0051082;GO:0006457;GO:0006986
O94810,GO:0005737;GO:0043005;GO:0005886;GO:0032991;GO:0031681;GO:0005096;GO:0003924;GO:0007186;GO:0035556;GO:0009968;GO:0008277
Q8N138,GO:0005783;GO:0005789;GO:0005886;GO:0030667;GO:0017059;GO:0035579;GO:0006672;GO:0090156;GO:0061744;GO:0042552;GO:0002903;GO:1900060;GO:0010508;GO:1900182;GO:0006940;GO:0030148;GO:0006686
Q8TF61,GO:0005829
Q9H5P4,GO:0005929;GO:0005615;GO:0005654;GO:0005634;GO:0005886;GO:0002141;GO:0002142;GO:0032420;GO:0032426;GO:1990696;GO:0042802;GO:0060117;GO:0060088;GO:0050910;GO:0051649;GO:0045184;GO:0060113;GO:0007605
P48764,GO:0016324;GO:0005903;GO:0031526;GO:0009986;GO:0005769;GO:0031901;GO:0070062;GO:0005886;GO:0055038;GO:0042802;GO:0030165;GO:0035091;GO:0015386;GO:0015385;GO:0006811;GO:0071805;GO:0051453;GO:0098719
P04003,GO:0072562;GO:0005576;GO:0005615;GO:0005886;GO:0003723;GO:0006958;GO:0045087;GO:0045959;GO:0045732;GO:1903027;GO:0009609;GO:0002456
Q9Y534,GO:0005737;GO:0005634;GO:0003730;GO:0003723;GO:0006397;GO:0043488
O60941,GO:0009925;GO:0005737;GO:0030425;GO:0060077;GO:0005634;GO:0005886;GO:0014069;GO:0045202;GO:0008270;GO:0030182;GO:0099536
Q86SE5,GO:0005654;GO:0005634;GO:0042802;GO:0003723
Q5BJF6,GO:0120103;GO:0005814;GO:0005813;GO:0036064;GO:0005929;GO:0005829;GO:0043231;GO:0005874;GO:0005634;GO:0036126;GO:0097225;GO:0097228;GO:0000922;GO:0031267;GO:0005198;GO:0030154;GO:0010457;GO:0044782;GO:0008104;GO:1902017;GO:0007283
Q86UV6,GO:0005737;GO:0005829;GO:0061630;GO:0008270;GO:0045087
Q7Z5J8,GO:0016020
Q5VWX1,GO:0005654;GO:0005634;GO:0003729;GO:0008143;GO:0008266;GO:0042169;GO:0017124;GO:0006397;GO:0000381
Q9UPT6,GO:0030424;GO:1904115;GO:0044297;GO:0005737;GO:0031410;GO:0030425;GO:0000139;GO:0030426;GO:0048471;GO:0008432;GO:0019894;GO:0005078;GO:0030159;GO:0099641;GO:0061564;GO:0031103;GO:0043066;GO:0046330;GO:0050821;GO:0046328;GO:0016192
Q9Y235,GO:0005737;GO:0005634;GO:0004126;GO:0042802;GO:0046872;GO:0003723;GO:0016554;GO:0016556;GO:0006397;GO:0044029
Q9H9B4,GO:0005743;GO:0005739;GO:0015180;GO:0015194;GO:0015075;GO:0022857;GO:0030218;GO:0006826;GO:0015808;GO:0015825;GO:0006730;GO:0140300
Q9NVV2,
P17658,GO:0043679;GO:0005829;GO:0043231;GO:0016020;GO:0005886;GO:0034705;GO:0008076;GO:0005251;GO:0005249;GO:0001508;GO:0071805;GO:0006813;GO:0051260
Q7L266,GO:0005737;GO:0005829;GO:0005634;GO:0001917;GO:0004067;GO:0008798;GO:0033345;GO:0006508
O75197,GO:0005783;GO:0005886;GO:0043235;GO:1990909;GO:1990851;GO:0015026;GO:0042813;GO:0017147;GO:0060612;GO:0006865;GO:0060033;GO:0009952;GO:1902262;GO:0048539;GO:0060349;GO:0046849;GO:0060444;GO:0060070;GO:0042074;GO:0098609;GO:0060764;GO:0042632;GO:0008203;GO:0042733;GO:0006897;GO:0060856;GO:1990963;GO:0035426;GO:0001702;GO:0010467;GO:0006007;GO:0008078;GO:0045668;GO:0071901;GO:0007399;GO:0110135;GO:0002076;GO:0033687;GO:0008284;GO:0045893;GO:0045600;GO:0002053;GO:0045840;GO:0045669;GO:0033690;GO:0045944;GO:0042981;GO:0008217;GO:0061178;GO:0043434;GO:0060042;GO:0061304;GO:0035019
Q9C029,GO:0005737;GO:0005794;GO:0005634;GO:0061630;GO:0008270;GO:0140374;GO:0045087;GO:0016567
Q02962,GO:0034451;GO:0000785;GO:0005815;GO:0005654;GO:0005634;GO:0032991;GO:0032993;GO:0000987;GO:0003677;GO:0003700;GO:0000981;GO:0000978;GO:1990837;GO:0000976;GO:0008134;GO:0007409;GO:0048854;GO:0001658;GO:0043010;GO:0001709;GO:0071364;GO:0071333;GO:0071300;GO:0090102;GO:0090103;GO:0010001;GO:0042472;GO:0060231;GO:0003337;GO:0007501;GO:0001823;GO:0072205;GO:0072221;GO:0072207;GO:0072162;GO:0072075;GO:0072289;GO:0043066;GO:1900215;GO:1900218;GO:2000117;GO:0045892;GO:0072305;GO:1900212;GO:0043069;GO:2000378;GO:0072179;GO:0007399;GO:0001843;GO:0061360;GO:0002072;GO:0021554;GO:0021631;GO:0021633;GO:0045893;GO:0050679;GO:0072108;GO:2000594;GO:0072300;GO:2000597;GO:0045944;GO:0039003;GO:0048793;GO:0072307;GO:0035566;GO:0006357;GO:0031667;GO:0003406;GO:0007423;GO:0048863;GO:0072189;GO:0035799;GO:0001655;GO:0021650;GO:0007601
P43489,GO:0009986;GO:0009897;GO:0005886;GO:0005031;GO:0001618;GO:0006955;GO:0006954;GO:0043433;GO:0045892;GO:0030890;GO:0002639;GO:0042098
Q86XQ3,GO:0001669;GO:0036128;GO:0005783;GO:0031514;GO:0005886;GO:0005245;GO:0051649;GO:0030317;GO:0006814;GO:0048240
Q16644,GO:0005737;GO:0005829;GO:0005654;GO:0005634;GO:0004676;GO:0004679;GO:0005524;GO:0009931;GO:0004683;GO:0005516;GO:0004677;GO:0004694;GO:0044024;GO:0072371;GO:1990244;GO:0035979;GO:0044025;GO:0140823;GO:0035175;GO:0044022;GO:0140855;GO:0035402;GO:0072354;GO:0140857;GO:0035403;GO:0044023;GO:0004708;GO:0051019;GO:0106310;GO:0004674;GO:0072518;GO:0004711;GO:0035556;GO:0044351;GO:0018105;GO:0034097;GO:0032496;GO:0007165;GO:0002224;GO:0048010
P48740,GO:0005829;GO:0005576;GO:0005615;GO:0005654;GO:0005509;GO:0048306;GO:0042802;GO:0008233;GO:0042803;GO:0004252;GO:0001867;GO:0045916;GO:0031638
Q8TDG2,GO:0005737;GO:0005856;GO:0005634;GO:0003682;GO:0045892;GO:0006355;GO:0008589
Q9UKB5,GO:0005912;GO:0016324;GO:0016323;GO:0009986;GO:0044291;GO:0009898;GO:0005886;GO:0008013;GO:0019904;GO:0044877;GO:0007155;GO:0001953;GO:0061045;GO:0030860
Q9H3T3,GO:0005886;GO:0045499;GO:0038191;GO:0030215;GO:0007411;GO:0007417;GO:0021766;GO:0050919;GO:0001755;GO:0030335;GO:0071526
A6NFE3,GO:0005509
Q96JG8,GO:0005634;GO:0000122
P02686,GO:0071944;GO:0009986;GO:0043218;GO:0005829;GO:0033269;GO:0043209;GO:0043025;GO:0005634;GO:0005886;GO:0032991;GO:0045202;GO:0005516;GO:0008289;GO:0002020;GO:0019911;GO:0008366;GO:0007417;GO:0007268;GO:0006955;GO:0035633;GO:0000165;GO:0061024;GO:0042552;GO:0034115;GO:2000343;GO:0032755;GO:1904685;GO:0009636;GO:0007605;GO:0021762
O95393,GO:0009986;GO:0005737;GO:0005576;GO:0005615;GO:0030018;GO:0005125;GO:0008083;GO:0005179;GO:0033612;GO:0031433;GO:0032924;GO:0007512;GO:0055009;GO:0030509;GO:0060038;GO:0007155;GO:0060347;GO:0001822;GO:0010614;GO:0030308;GO:0030336;GO:0010596;GO:0060045;GO:0010613;GO:0061036;GO:2000138;GO:0045893;GO:0010628;GO:0060298;GO:0060391;GO:0055117;GO:1903242;GO:0045214;GO:0055015;GO:0055010
Q8TDI7,GO:0032437;GO:0005886;GO:0032420;GO:0032426;GO:0005262;GO:0008381;GO:0005245;GO:0050910;GO:1903169;GO:0060005
P58549,GO:0005886;GO:0017080;GO:1903278;GO:0006813;GO:0006814
Q6ZP82,GO:0005813;GO:0005737;GO:0051642;GO:0021799
Q9NPE6,GO:0005737;GO:0005856;GO:0034993;GO:0031514;GO:0005635;GO:0005637;GO:0043495;GO:0005198;GO:0030154;GO:0007283
P35914,GO:0005829;GO:0005759;GO:0005739;GO:0005782;GO:0005777;GO:0032991;GO:0004419;GO:0000287;GO:0030145;GO:0046872;GO:0005198;GO:0046951;GO:0006552;GO:0006629;GO:0007005
Q52MB2,GO:0005737
Q9NPD7,GO:0005576;GO:0005886;GO:0098843;GO:0098552;GO:1990138
Q9BR01,GO:0005737;GO:0005829;GO:0005739;GO:0042802;GO:0008146;GO:0140059;GO:0008202;GO:0051923
O94964,GO:0070062;GO:0005615;GO:0000139;GO:0005874;GO:0030496;GO:0051301;GO:0007059;GO:0008286;GO:0045721;GO:0010506
A6NCS6,
Q12829,GO:0005768;GO:0005635;GO:0048471;GO:0005886;GO:0008021;GO:0005525;GO:0003924;GO:1990748;GO:0006887;GO:0035556;GO:0016567
Q9Y6S9,GO:1990904;GO:0005840;GO:0004676;GO:0004679;GO:0005524;GO:0004677;GO:0004694;GO:0044024;GO:0072371;GO:1990244;GO:0035979;GO:0044025;GO:0140823;GO:0035175;GO:0044022;GO:0140855;GO:0035402;GO:0072354;GO:0140857;GO:0035403;GO:0044023;GO:0106310;GO:0072518;GO:0004711
Q9NUK0,GO:0005737;GO:0005829;GO:0005654;GO:0046872;GO:0003723;GO:0006397;GO:0045662;GO:0043484;GO:0008380
Q96A08,GO:0009986;GO:0000781;GO:0001674;GO:0005654;GO:0000786;GO:0005634;GO:0003677;GO:0042393;GO:0046982;GO:0030527;GO:0051276;GO:0006954;GO:0071674;GO:0006334;GO:0006337;GO:0031639;GO:0035092
A4D2P6,GO:0150048;GO:0098688;GO:0099092;GO:0045211;GO:0060292;GO:0099566;GO:0099072
Q96LD8,GO:0005829;GO:0008234;GO:0019784;GO:0043687;GO:0000338;GO:0016579;GO:0006508
O95970,GO:0043194;GO:0005737;GO:0030425;GO:0005783;GO:0005576;GO:0005615;GO:0098978;GO:0005794;GO:0043083;GO:0005102;GO:0007411;GO:0007399;GO:0031175;GO:0099645;GO:0030307;GO:0050806
P43362,GO:0005634;GO:0042826;GO:0000122
Q6MZQ0,GO:0031932;GO:0031625;GO:0034599;GO:0001933;GO:0009968;GO:0043491;GO:0090316;GO:0061014;GO:0051897;GO:0010762;GO:0038203
Q9NYI0,GO:0014069;GO:0032587;GO:0005085;GO:0032012
Q12834,GO:0005680;GO:0005813;GO:0005829;GO:0000776;GO:0033597;GO:0005654;GO:0005819;GO:0000922;GO:0010997;GO:1990757;GO:1990756;GO:0031145;GO:0030154;GO:0051301;GO:0044784;GO:1990949;GO:0007064;GO:0090307;GO:0007094;GO:0007399;GO:1905786;GO:0045842;GO:0090129;GO:0031915;GO:1904668;GO:0016567;GO:0051445;GO:0040020;GO:0007346
P12883,GO:0005737;GO:0005859;GO:0030016;GO:0016459;GO:0032982;GO:0016460;GO:0030017;GO:0001725;GO:0030018;GO:0051015;GO:0005524;GO:0005516;GO:0000146;GO:0007512;GO:0046034;GO:0060048;GO:0014898;GO:0006936;GO:0030049;GO:0002027;GO:0031449;GO:0002026;GO:0014728;GO:0045214;GO:0003009;GO:0006941;GO:0014883;GO:0055010
Q9BYL1,GO:0009898;GO:0007169
O95067,GO:0005813;GO:0000307;GO:0005737;GO:0005829;GO:0016020;GO:0015630;GO:0005815;GO:0005634;GO:0045296;GO:0016538;GO:0051301;GO:0000082;GO:0008315;GO:0001701;GO:0040008;GO:0007057;GO:0043029;GO:0048538
Q8N7B9,GO:0005509
Q8NEE8,
Q8N2A8,GO:0005794;GO:0005741;GO:0005739;GO:0035755;GO:0046872;GO:0042803;GO:0016891;GO:0016042;GO:0051321;GO:0008053;GO:0030719;GO:0034587;GO:0010636;GO:0007286
Q8NEW7,GO:0016020;GO:0042472;GO:0007605
Q9UJ04,GO:0000785;GO:0005634;GO:0003682;GO:0042393;GO:0006334
Q9UKZ9,GO:0005576;GO:0005518;GO:0008201;GO:0016504;GO:1990830
Q9NSA2,GO:0043197;GO:0043025;GO:0005886;GO:0045211;GO:0008076;GO:0005250;GO:0046872;GO:0001508;GO:0071805;GO:0051260
Q9H9R9,GO:0005737;GO:0009966
Q9NVC3,GO:0030424;GO:0005765;GO:0016020;GO:0043025;GO:0015182;GO:0140901;GO:0015186;GO:0140902;GO:0003333;GO:0006867;GO:0006868;GO:0006814
P30038,GO:0005829;GO:0005759;GO:0005739;GO:0003842;GO:0004029;GO:0009055;GO:0042802;GO:0019470;GO:0006562;GO:0010133;GO:0006560
H3BMG3,
Q86UX6,GO:0004676;GO:0004679;GO:0005524;GO:0004677;GO:0004694;GO:0044024;GO:0072371;GO:1990244;GO:0035979;GO:0044025;GO:0140823;GO:0035175;GO:0044022;GO:0140855;GO:0035402;GO:0072354;GO:0140857;GO:0035403;GO:0044023;GO:0046872;GO:0106310;GO:0004674;GO:0072518;GO:0004711;GO:0035556
Q6NUP7,GO:0005737;GO:0005829;GO:0008287;GO:0004864;GO:0019888;GO:0004865;GO:0001835
P17481,GO:0000785;GO:0005654;GO:0005634;GO:0000981;GO:0001227;GO:0000977;GO:1990837;GO:0008344;GO:0009952;GO:0021516;GO:0048704;GO:0007625;GO:0045638;GO:0006357;GO:0019233
Q02221,GO:0005743;GO:0005739;GO:0045277;GO:0030234;GO:0016491;GO:0006091;GO:0006123
Q8N9Y4,GO:0005737
Q5T089,
H3BU77,
Q96P50,GO:0005737;GO:0030426;GO:0005096;GO:0046872;GO:0001764;GO:0010975
O15375,GO:0016323;GO:0016020;GO:0005886;GO:0008028;GO:0015293;GO:0015718
Q68G75,GO:0016020
Q6ZRK6,
Q9NZI2,GO:0005737;GO:0009898;GO:0030425;GO:0071196;GO:0005886;GO:0045202;GO:0008076;GO:0005509;GO:0005267;GO:0015459;GO:0044325;GO:0007268;GO:0086009;GO:0006936;GO:0097623;GO:0008016;GO:1901379;GO:0009966
P20809,GO:0005737;GO:0005576;GO:0005615;GO:0005125;GO:0008083;GO:0005142;GO:0030183;GO:0008283;GO:0045444;GO:0038154;GO:0030219;GO:0046888;GO:0008284;GO:0043410;GO:0033138;GO:0050731;GO:0045944
O75881,GO:0005789;GO:0033782;GO:0033783;GO:0020037;GO:0005506;GO:0008396;GO:0035754;GO:0006699;GO:0042632;GO:0008203;GO:0050673;GO:0030520;GO:0033147;GO:0050679;GO:0060740;GO:0016125
Q6EMB2,GO:0005813;GO:0036064;GO:0005829;GO:0005874;GO:0005634;GO:0005886;GO:0005524;GO:0046872;GO:0106438;GO:0106437;GO:0015631;GO:0070740;GO:0036211;GO:0060041;GO:0007288
Q5PT55,GO:0016020;GO:0008508;GO:0015721
O60224,GO:0005634;GO:0006355
Q5VZ66,GO:0005794;GO:0019900;GO:0008017
Q8IVS8,GO:0005737;GO:0005829;GO:0005794;GO:0005739;GO:0005524;GO:0008887;GO:0061624;GO:0006468
Q6UWR7,GO:0070062;GO:0005576;GO:0005886;GO:0098552;GO:0047390;GO:0008889;GO:0046872;GO:0008081;GO:0019695;GO:0046475;GO:0006629
Q9Y619,GO:0016020;GO:0005743;GO:0005739;GO:0015297;GO:0061459;GO:0015189;GO:0000064;GO:1903826;GO:1903401;GO:1990575;GO:0000050
Q8TBF8,GO:0098978;GO:0014069;GO:0099092;GO:0140693
Q8NB49,GO:0031901;GO:0005783;GO:0005789;GO:0005765;GO:1990531;GO:0005886;GO:0055037;GO:0055038;GO:0005524;GO:0016887;GO:0140326;GO:0000287;GO:0090555;GO:0140346;GO:0090556;GO:0034220;GO:0045332
Q9H4G1,GO:0005615;GO:0004869;GO:0019730
Q13002,GO:0098978;GO:0098686;GO:0032983;GO:0097471;GO:0043025;GO:0005886;GO:0098839;GO:0042734;GO:0005234;GO:0022849;GO:0004970;GO:0015277;GO:0099507;GO:1904315;GO:0001662;GO:0007268;GO:0120169;GO:0007215;GO:0060080;GO:0006874;GO:0050804;GO:0043524;GO:0051967;GO:0051402;GO:0019228;GO:0050806;GO:0099171;GO:0048169;GO:0048172;GO:0035249
P22732,GO:0016324;GO:0070062;GO:0005886;GO:0042383;GO:0035579;GO:0055056;GO:0070061;GO:0005353;GO:0005975;GO:0071332;GO:1904659;GO:1990539;GO:0015755;GO:0106001;GO:0003044;GO:0009750
O95197,GO:0005783;GO:0005789;GO:0005615;GO:0005794;GO:0000139;GO:0043005;GO:0005886;GO:0014069;GO:0006915;GO:0007420;GO:0071787;GO:0071786;GO:1902430;GO:0030182;GO:0016192
Q9NS67,GO:0005886;GO:0004930;GO:0035774;GO:1900738;GO:0007165
Q9BXT5,GO:0005737;GO:0005634;GO:0030154;GO:0006346;GO:0006281;GO:0007140;GO:0010569;GO:0031047;GO:0007283;GO:0007130;GO:0010526
Q8WVT3,GO:0005737;GO:0005829;GO:0005793;GO:0005794;GO:0000776;GO:0005654;GO:0005634;GO:0030008;GO:1990072;GO:0048208;GO:0006888;GO:0007030;GO:0051310;GO:1905342;GO:0090234;GO:0099022
H3BQB6,GO:0005737;GO:0043005;GO:0015631;GO:0007019;GO:0031175;GO:0031110
Q2L4Q9,GO:0005576;GO:0004252;GO:0006508
E7EW31,GO:0005654
P14616,GO:0030424;GO:0005899;GO:0005886;GO:0043235;GO:0005524;GO:0008288;GO:0060175;GO:0005006;GO:0005007;GO:0005004;GO:0005008;GO:0140801;GO:0035401;GO:0005009;GO:0043560;GO:0005010;GO:0005011;GO:0043548;GO:0036332;GO:0005018;GO:0005019;GO:0038062;GO:0005020;GO:0004714;GO:0005005;GO:0005021;GO:0030036;GO:0007169;GO:0071469;GO:0030238;GO:0046777
Q8TBB6,GO:0005829;GO:0043231;GO:0005765;GO:0005654;GO:0005886;GO:0015171;GO:0015185;GO:0006865;GO:0051939
Q08257,GO:0005829;GO:0070062;GO:0005739;GO:0042802;GO:0003730;GO:0070402;GO:0003960;GO:0008270;GO:0051289;GO:0007601;GO:0042178
P01034,GO:0005737;GO:0005783;GO:0005788;GO:0070062;GO:0005576;GO:0005615;GO:1904813;GO:0005794;GO:0005886;GO:1904724;GO:0031982;GO:0001540;GO:0004869;GO:0004866;GO:0042802;GO:0030414;GO:0002020;GO:0006952;GO:0060313;GO:0010711;GO:0060311;GO:0010716;GO:0010466;GO:0045861;GO:0034103;GO:0097435
Q6NUN0,GO:0005759;GO:0005739;GO:0005524;GO:0015645;GO:0004321;GO:0005525;GO:0031956;GO:0046872;GO:0006637;GO:0006633
Q7Z7G1,GO:0005737;GO:0042629;GO:0032991;GO:0044877;GO:0007169;GO:0035556;GO:0043303;GO:0032815;GO:0002729
